"","prodfra_n_moins1","prodfra_n","c_evol_prodfra","libel"
"2681","2594125000","2594125000",0,"Prodfra perenne"
"2682","2594127000","2594127000",0,"Prodfra perenne"
"2683","2594131000","2594131000",0,"Prodfra perenne"
"2684","2594134000","2594134000",0,"Prodfra perenne"
"2685","2594137000","2594137000",0,"Prodfra perenne"
"2686","25941400H0","25941400H0",0,"Prodfra perenne"
"2687","259911100A","259911100A",0,"Prodfra perenne"
"2688","259911270A","259911270A",0,"Prodfra perenne"
"2689","259911310A","259911310A",0,"Prodfra perenne"
"2690","259911350A","259911350A",0,"Prodfra perenne"
"2691","259911370A","259911370A",0,"Prodfra perenne"
"2692","259912170A","259912170A",0,"Prodfra perenne"
"2693","259912230A","259912230A",0,"Prodfra perenne"
"2694","259912291A","259912290A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2695","259912299A","259912290A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2696","259912370A","259912370A",0,"Prodfra perenne"
"2697","259912430A","259912430A",0,"Prodfra perenne"
"2698","259912490A","259912490A",0,"Prodfra perenne"
"2699","259912530A","259912530A",0,"Prodfra perenne"
"2700","259912550A","259912550A",0,"Prodfra perenne"
"2701","259912570A","259912570A",0,"Prodfra perenne"
"2702","259912700A","259912700A",0,"Prodfra perenne"
